Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,label,random
"Respiratory coinfections with COVID-19 in veterans health administration (VA), 2020","Schirmer, Patricia; Lucero-Obusan, Cynthia; Sharma, Aditya; Sohoni, Pooja; Oda, Gina; Holodniy, Mark ","Background: The first US cases occurred in the COVID-19 pandemic in Jan. 2020. Initially, some states required patients be screened for other respiratory pathogens before COVID-19. Information on COVID-19 coinfections with other respiratory pathogens is limited. We investigated prevalence of COVID-19 coinfections with other respiratory pathogens in VA. Method(s): Molecular and viral culture test results from 9/29/2019-5/31/2020 for respiratory pathogens (Adenovirus, Bordetella pertussis/parapertussis, Chlamydia pneumoniae, COVID-19 and other Coronaviruses, Influenza, human Metapneumovirus (hMPV), human parainfluenza viruses (HPIV), Mycoplasma pneumoniae, Rhino-Enterovirus, and Respiratory Syncytial Virus (RSV)) were identified from VA data sources. COVID-19 tested patients were evaluated within 7 days for respiratory pathogen coinfections from 2/1/2020-5/31/2020. Patient demographics were obtained for patients with coinfections. Result(s): A total of 825,282 respiratory pathogen tests (including COVID-19) were performed from Sept. 2019 with percent positive shown in Figure 1. Of these, 617,541 tests were performed starting in Feb. 2020 (Table 1). There were 14,839 (6.5%) positive COVID-19 tests (10,223 unique patients) of 227,111 tests performed (174,747 unique patients). 30,066/174,747 (17%) of patients with COVID-19 were tested for another respiratory pathogen. Fifty-six (0.55%) unique COVID-19 patients were detected with coinfection including 3 COVID-19 positive patients with > 1 other respiratory pathogen (2 with Coronavirus and Adenovirus and 1 with Coronavirus and Rhino-Enterovirus). Other coinfections included 18 Rhino-Enterovirus, 15 Influenza, 10 with another Coronavirus, 4 RSV, 3 hMPV, 2 HPIV, and 1 C. pneumoniae. Demographics of coinfected patients are shown in Table 2. Conclusion(s): In VA, coinfection with COVID-19 and other respiratory pathogens was rare. Detection was limited since not all COVID-19 patients were tested for other respiratory pathogens and respiratory pathogens were declining when COVID- 19 emerged. Coinfections were detected with different respiratory pathogens. Further comparisons of coinfected vs. non-coinfected patients to assess outcome or actionable results will be important as we enter the next influenza season.",2020,/,Open Forum Infectious Diseases,7,SUPPL 1,S267-S268,,http://dx.doi.org/10.1093/ofid/ofaa417.592,634732968,#99020,Schirmer 2020,,,0,0.706315577
Estimating the effectiveness of routine asymptomatic PCR testing at different frequencies for the detection of SARS-CoV-2 infections.,"Hellewell, Joel; Russell, Timothy W; SAFER Investigators and Field Study Team; Crick COVID-19 Consortium; CMMID COVID-19 working group; Beale, Rupert; Kelly, Gavin; Houlihan, Catherine; Nastouli, Eleni; Kucharski, Adam J","BACKGROUND: Routine asymptomatic testing using RT-PCR of people who interact with vulnerable populations, such as medical staff in hospitals or care workers in care homes, has been employed to help prevent outbreaks among vulnerable populations. Although the peak sensitivity of RT-PCR can be high, the probability of detecting an infection will vary throughout the course of an infection. The effectiveness of routine asymptomatic testing will therefore depend on testing frequency and how PCR detection varies over time., METHODS: We fitted a Bayesian statistical model to a dataset of twice weekly PCR tests of UK healthcare workers performed by self-administered nasopharyngeal swab, regardless of symptoms. We jointly estimated times of infection and the probability of a positive PCR test over time following infection; we then compared asymptomatic testing strategies by calculating the probability that a symptomatic infection is detected before symptom onset and the probability that an asymptomatic infection is detected within 7 days of infection., RESULTS: We estimated that the probability that the PCR test detected infection peaked at 77% (54-88%) 4 days after infection, decreasing to 50% (38-65%) by 10 days after infection. Our results suggest a substantially higher probability of detecting infections 1-3 days after infection than previously published estimates. We estimated that testing every other day would detect 57% (33-76%) of symptomatic cases prior to onset and 94% (75-99%) of asymptomatic cases within 7 days if test results were returned within a day., CONCLUSIONS: Our results suggest that routine asymptomatic testing can enable detection of a high proportion of infected individuals early in their infection, provided that the testing is frequent and the time from testing to notification of results is sufficiently fast.",2021,/,BMC medicine,19,1,106,,https://dx.doi.org/10.1186/s12916-021-01982-x,33902581,#103647,Hellewell 2021,,,0,0.497604451
Timing is everything: the relationship between COVID outcomes and the date at which mask mandates are relaxed.,"Shoukat, Affan; Galvani, Alison P; Fitzpatrick, Meagan C","Importance: Several states including Texas and Mississippi have lifted their mask mandates, sparking concerns that this policy change could lead to a surge in cases and hospitalizations., Objective: To estimate the increase in incidence, hospitalizations, and deaths in Texas and Mississippi following the removal of mask mandates, and to evaluate the relative reduction of these outcomes if policy change is delayed by 90 days., Design Setting and Participants: This study uses an age-stratified compartmental model parameterized to incidence data in Texas and Mississippi to simulate increased transmission following policy change in March or June 2021, and to estimate the resulting number of incidence, hospitalizations, and deaths., Main Outcomes and Measures: The increase in incidence, hospitalizations, and deaths if mask mandates are lifted on March 14 compared to lifting on June 12., Results: If transmission is increased by 67% when mask mandates are lifted, we projected 11.39 (CrI: 11.22 - 11.55) million infections, 170,909 (CrI: 167,454 - 174,379) hospitalizations, and 5647 (5511 - 5804) deaths (Figure 1) in Texas from March 14 through the end of 2021. Delaying NPI lift until June reduces the average number of infections, hospitalizations, and deaths by 36%, 65%, and 62%, respectively. Proportionate differences were similar for the state of Mississippi. Peak hospitalization rates would be reduced by 79% and 63% in Texas and Mississippi, respectively., Conclusions and Relevance: Removal of mask mandates in March 2021 is premature. Delaying this policy change until June 2021, when a larger fraction of the population has been vaccinated, will avert more than half of the expected COVID-19 hospitalizations and deaths, and avoid an otherwise likely strain on healthcare capacity.",2021,/,medRxiv : the preprint server for health sciences,,101767986,,,https://dx.doi.org/10.1101/2021.03.31.21254646,33851171,#97853,Shoukat 2021,,,0,0.888751074
Quasi-Simpson paradox in estimating the expected mortality rate from the SARS-CoV-2.,"Shaki, Yair Y","On January 30, 2020, the World Health Organization (WHO) declared SARS-CoV-2 a global pandemic, based on a high infection rate and a high case fatality rate (CFR). The combination of these two points led WHO to forecast a high expected mortality rate of approximately 2% of the population. The phenomenon of Simpson's paradox teaches us that we should be careful when we combine two variables together. Indeed, despite the high mortality rate in several places, this forecast seems to have collapsed. We believe one of the reasons for the erroneous forecasts is that combining the above points ignored a confounding variable - many of the virus carriers are asymptomatic and therefore not diagnosed.",2021,/,Science progress,104,2,3.69E+14,,https://dx.doi.org/10.1177/00368504211009673,33884941,#101358,Shaki 2021,,,0,0.120593528
Case report of Kawasaki disease and SARSCoV- 2 infection in a paediatric hospital,"Murrja, E.; Simonini, A.; Ortenzi, G.B.; Sentinelli, R.; Garzone, A.M.F.; Andresciani, E.; Pelliccioni, S.; Pompilio, A. ","Background and importance Kawasaki disease (KD) is a systemic vasculitis of unknown aetiology that affects children younger than 5 years old. The SARS-CoV-2 COVID pandemic highlighted cases reported to have an association between SARS-CoV-2 infection and KD. Clinical analogies verified between the two conditions open new perspectives with regard to aetiopathogenesis. Aim and objectives To describe a severe hyperinflammation case of a 9-year-old girl (27 kg,131 cm), previously healthy (mother tested positive for SARS-CoV-2; symptoms of high fever, diarrhoea, headache, abdominal pain), with clinical data regarding the association of SARS-CoV-2 infection and KD. Material and methods In collaboration with the clinician, we reviewed a medical chart of a KD SARS-CoV-2 associated case, diagnosed between January and July 2020. Results On 16 April 2020, a 9-year-old girl was admitted to the emergency department for suspicion of acute abdomen with an associated persistent fever. Nasopharyngeal swab and bronchoalveolar lavage tests for SARS-CoV-2 were negative. Abdominal ECO showed lymphadenomegaly due to hyperinflammation and CT scan reported evidence of interstitial, parenchymal thickening and pulmonary infiltration. Echocardiogram showed normal coronary arteries with minimal pericardial effusion. Broad spectrum empirical antibiotics were started. On 18 April (illness day 7) respiratory distress appeared, a critical condition similar to a shock syndrome and multiorgan failure occurred. Respiratory support and ionotropic agents were started in the intensive care unit. The diagnostic suspicion of atypical incomplete KD, non-coronary involvement, was confirmed and treatment was switched to intravenous immunoglobulin 2 g/kg/ day, acetylsalicylic acid 30 mg/kg/day and methylprednisolone infusion until the day of discharge. On illness day 10, laboratory blood tests showed progressive reduction in inflammation markers and rapid normalisation of liver enzymes (lipase 1824, amylase 502, declining leucocytes 8.57, Hb 12, negative CRP). Because of the uncertainty about the cause, anti-S-specific IgG antibodies to SARSCoV- 2 were measured. Serology testing for SARS-Cov-2 revealed IgG antibody concentrations. On day 12 of the illness, she was discharged. Conclusion and relevance It is known that SARS-CoV-2 infection can activate uncontrolled inflammation. Cases are being informally reported among paediatricians, and recently patients with severe forms have been reported, emphasising the apparent rise in the number of children presenting with a multisystem inflammatory state requiring intensive care. The connection between viral infections and KD, the analogies between the two conditions, open new perspectives with regard to aetiopathogenesis.",2021,/,European Journal of Hospital Pharmacy,28,SUPPL 1,A46-A47,,http://dx.doi.org/10.1136/ejhpharm-2021-eahpconf.95,634720924,#98611,Murrja 2021,,,0,0.97597773
POS-033 Acute Kidney Injury in Children with COVID-19,"Kari, J.; Shalaby, M.; Albanna, A.; Alahmadi, T.; Alherbish, A.; Alhasan, K. ","Introduction: Acute kidney injury (AKI) is a complication of coronavirus disease 2019 (COVID-19). The reported incidence of AKI, however, varies among studies. We aimed to evaluate the incidence of AKI and its association with mortality and morbidity in children infected with severe acute respiratory distress syndrome coronavirus 2 (SARS-CoV-2) who required hospital admission. Method(s): This was a multicenter retrospective cohort study from three tertiary centers, which included children with confirmed COVID-19. All children were evaluated for AKI using the Kidney Disease Improving Global Outcomes (KDIGO) definition and staging. Result(s): Of 89 children included, 19 (21%) developed AKI (52.6% stage I). A high renal angina index score was correlated with severity of AKI. Also, multisystem inflammatory syndrome in children (MIS-C) was increased in children with AKI compared to those with normal kidney function (15% vs 1.5%). Patients with AKI had significantly more pediatric intensive care admissions (PICU) (32% vs. 2.8%, p< 0.001) and mortality (42% vs. 0%, p< 0.001). However, AKI was not associated with prolonged hospitalization (58% vs. 40%, p=0.163) or development of MIS-C (10.5% vs. 1.4%, p=0.051). Residual renal impairment at discharge occurred in 9% of patients. This was significantly influenced by the presence of comorbidities, hypotension, hypoxia, heart failure, acute respiratory distress, hypernatremia, abnormal liver profile, high C-reactive protein, and positive blood culture. Conclusion(s): AKI occurred in one-fifth of children with SARS-CoV-2 infection requiring hospital admission, with one-third of those requiring PICU. AKI was associated with increased morbidity and mortality, and residual renal impairment at time of discharge. No conflict of interestCopyright Â© 2021",2021,/,Kidney International Reports,6,4 Supplement,S14,,http://dx.doi.org/10.1016/j.ekir.2021.03.039,2011684313,#101903,Kari 2021,,,0,0.859026196
"Exposure to air pollution and COVID-19 severity: a review of current insights, management and challenges.","Ali, Nurshad; Fariha, Khandaker Atkia; Islam, Farjana; Mishu, Moshiul Alam; Mohanto, Nayan Chandra; Hosen, Mohammad Jakir; Hossain, Khaled","Several epidemiological studies have suggested a link between air pollution and respiratory tract infections. The outbreak of coronavirus disease 2019 (COVID-19) poses a great threat to public health worldwide. However, some parts of the globe have been worse affected in terms of prevalence and deaths than others. The causes and conditions of such variations have yet to be explored. Although some studies indicated a possible correlation between air pollution and COVID-19 severity, there is as yet insufficient data for a meaningful answer. This review summarized the impact of air pollution on COVID-19 infections and severity, as well discussed the possible management strategies and challenges involved. The available literature that investigated the correlation between air pollution and COVID infections and mortality were included in the review. The studies reviewed here suggest that exposure to air pollution, particularly to PM2.5 and NO2 is positively correlated with COVID-19 infections and mortality. Some data indicate that air pollution can play an important role in the airborne transmission of SARS-CoV-2. A high percentage of COVID-19 incidences have been reported in the most polluted areas, where patients needed hospital admission. The available data also shows that both short-term and long-term air pollution may enhance COVID-19 severity. However, most of the studies that showed a link between air pollution and CVID-19 infections and mortality did not consider potential confounders during the correlation analysis. Therefore, more specific studies need to be performed focusing on some additional confounders such as individual age, population density, pre-existing comorbidities to determine the impact of air pollution on COVID-19 infections and deaths. This article is protected by copyright. All rights reserved. Copyright This article is protected by copyright. All rights reserved.",2021,/,Integrated environmental assessment and management,,101234521,,,https://dx.doi.org/10.1002/ieam.4435,33913626,#103601,Ali 2021,,,0,0.807727645
Learning the Mental Health Impact of COVID-19 in the United States With Explainable Artificial Intelligence: Observational Study.,"Jha, Indra Prakash; Awasthi, Raghav; Kumar, Ajit; Kumar, Vibhor; Sethi, Tavpritesh","BACKGROUND: The COVID-19 pandemic has affected the health, economic, and social fabric of many nations worldwide. Identification of individual-level susceptibility factors may help people in identifying and managing their emotional, psychological, and social well-being., OBJECTIVE: This study is focused on learning a ranked list of factors that could indicate a predisposition to a mental disorder during the COVID-19 pandemic., METHODS: In this study, we have used a survey of 17,764 adults in the United States from different age groups, genders, and socioeconomic statuses. Through initial statistical analysis and Bayesian network inference, we have identified key factors affecting mental health during the COVID-19 pandemic. Integrating Bayesian networks with classical machine learning approaches led to effective modeling of the level of mental health prevalence., RESULTS: Overall, females were more stressed than males, and people in the age group 18-29 years were more vulnerable to anxiety than other age groups. Using the Bayesian network model, we found that people with a chronic mental illness were more prone to mental disorders during the COVID-19 pandemic. The new realities of working from home; homeschooling; and lack of communication with family, friends, and neighbors induces mental pressure. Financial assistance from social security helps in reducing mental stress during the COVID-19-generated economic crises. Finally, using supervised machine learning models, we predicted the most mentally vulnerable people with ~80% accuracy., CONCLUSIONS: Multiple factors such as social isolation, digital communication, and working and schooling from home were identified as factors of mental illness during the COVID-19 pandemic. Regular in-person communication with friends and family, a healthy social life, and social security were key factors, and taking care of people with a history of mental disease appears to be even more important during this time. Copyright Â©Indra Prakash Jha, Raghav Awasthi, Ajit Kumar, Vibhor Kumar, Tavpritesh Sethi. Originally published in JMIR Mental Health (https://mental.jmir.org), 20.04.2021.",2021,/,JMIR mental health,8,4,e25097,,https://dx.doi.org/10.2196/25097,33877051,#101267,Jha 2021,,,0,0.408812692
EVIDENCE FOR BIOLOGICAL AGE ACCELERATION AND TELOMERE SHORTENING IN COVID-19 SURVIVORS,"Mongelli, Alessia; Barbi, Veronica; Zamperla, Michela Gottardi; Atlante, Sandra; Forleo, Luana; Nesta, Marilisa; Massetti, Massimo; Pontecorvi, Alfredo; Nanni, Simona; Farsetti, Antonella; Catalano, Oronzo; Bussotti, Maurizio; Vecchia, Laura della; Bachetti, Tiziana; Martelli, Fabio; La Rovere, Maria Teresa; Gaetano, Carlo","<h4>ABSTRACT</h4> <h4>Introduction & Background</h4> the SARS-CoV-2 infection determines the COVID-19 syndrome characterized, in the worst cases, by severe respiratory distress, pulmonary and cardiac fibrosis, inflammatory cytokines release, and immunodepression. This condition has led to the death of about 2.15% of the total infected world population so far. Among survivors, the presence of the so-called post-COVID19 syndrome (PPCS) is a common finding. In patients who survived the SARS-CoV-2 infection, overt PPCS presents one or more symptoms such as fatigue, dyspnea, memory loss, sleep disorders, and difficulty concentrating. The pathophysiology of PPCS is currently poorly understood, and whether epigenetic mechanisms are involved in this process is unexplored. <h4>Methods & Results</h4> In this study, a cohort of 117 COVID19 survivors (post-COVID19) and 144 non-infected volunteers (COVID19-free) were analyzed using pyrosequencing of defined CpG islands previously identified as suitable for biological age determination. Besides, telomere length (TL) and ACE2 and DPP4 receptor expression were determined. The results show a consistent biological age increase in the post-covid population (58,44 Â± 14,66 ChronoAge Vs. 67,18 Â± 10,86 BioAge, P<0,0001), determining a DeltaAge acceleration of 10,45 Â± 7,29 years (+5.25 years above range of normality) compared to 3,68 Â± 8,17 years for the COVID19-free population (P<0,0001). A significant telomere shortening parallels this finding in the post-COVID19 cohort compared to COVID19-free subjects (post-COVID19 TL: 3,03 Â± 2,39 Kb vs. COVID19-free: 10,67 Â± 11,69 Kb; P<0,0001). Additionally, ACE2 expression was decreased in post-COVID19 patients compare to COVID19-free, while DPP-4 did not change. <h4>Conclusion</h4> In light of these observations, we hypothesize that some epigenetic alterations are associated with the post-COVID19 condition, particularly in the younger (<60 years). Although the consequences of such modifications on the long-term clinical outcome remain unclear, they might indicate a direction to investigate the pathophysiological basis of the post-COVID19 syndrome.",2021,,,,,,PPR316013,10.1101/2021.04.23.21255973,,#104502,Mongelli 2021,,,0,0.817851839
Outcomes of novel coronavirus disease in patients with diabetes mellitus: A retrospective analysis,"Kulkarni, Rohit; Maharaul, Mashrutee; Kurpad, Krishna; Bayambe, Santhosh; Ahsan, Muhammad; Gopal, Shwetha; Kumar, Vikash; Mehta, Harsh; Fless, Kristin; Yodice, Paul; Nair, Archana Sreekantan; Gandhi, Krupa; Ovnanian, Vagram; Rezai, Fariborz; Safford, Mark; Mistry, Nirav ","INTRODUCTION: Coronavirus disease 2019 (COVID-19) is a multisystem infection caused by SARS-CoV-2 Virus. Recent studies have demonstrated poor outcomes in patients with diabetes mellitus (DM). We sought to assess the in-hospital outcomes of COVID19 patients with DM at our centre. METHOD(S): Ours was a single centre, retrospective, observational study of 470 COVID-19 patients admitted to our hospital. We divided these patients into 2 groups; those with DM and those without. We compared demographic characteristics, comorbid conditions, and in-hospital outcomes between the two groups. Statistics were performed using STATA. Statistical significance was assigned at p<0.05. RESULT(S): Out of the 470 patients included in the study, 35.53% of patients had DM. Mean age of patients with and without DM was 68.35years+/-1.08 vs 61.71+/-1.05years respectively. 8.72% of patients were on pharmacological therapy. The diabetic cohort had a higher prevalence of hypertension, heart failure compared to the non-diabetic cohort (88.02 vs49.5% p-value:0.004, 22.9% vs 9.31% p-value: 0.04). Other comorbidities such as OSA, CKD, COPD, Asthma were comparable between both groups. The DM group had a higher level of inflammatory markers during the course of hospitalisation (D-dimer 3802.68+/- 1499 vs 3448.13 +/-1139, CRP: 12.60+/-0.76 vs 11.85+/-0.60, ESR: 73.66+/-10.41 vs 58.04+/-7.10). The DM group had a significantly higher need for mechanical ventilation (18.56% vs 13.29%, p<0.03), and subsequent in-hospital mortality (43.35% vs 25.74% p<0.05). On multivariate regression, diabetics had 2.64 higher odds of in-hospital mortality, however, the p-value was not significant (Write ODDS Ratio and Confidence interval p-value: 0.116). CONCLUSION(S): Overall inpatient mortality was higher in patients with DM, likely driven by an increased need for mechanical ventilation. Our study positively adds to the existing literature that DM is a significant risk factor for higher morbidity and mortality in COVID-19 patients.",2021,/,Critical Care Medicine,49,1 SUPPL 1,47,,http://dx.doi.org/10.1097/01.ccm.0000726384.17149.f4,634767184,#101672,Kulkarni 2021,,,0,0.755486323
The mis-cery of COVID-19: The diagnostic conundrum of mis-c in sickle cell anemia,"Seamon, Keri; Zelinka, Kailea; Mathew, Smitha; Cagle, William ","INTRODUCTION: Multisystem Inflammatory Syndrome in Children (MIS-C) is a systemic inflammatory process similar to Kawasaki Disease in pediatric patients after SARS-CoV-2 viral infection. The objective of this report is to demonstrate the diagnostic and treatment challenge of MIS-C in patients with sickle cell disease (SCD) with underlying hypercoagulable and pro-inflammatory states. METHOD(S): A 6-year-old female with a history of SCD presented to the Emergency Room with emesis, fever, and cough for two days. She demonstrated fever, abdominal pain, tachycardia, and tachypnea requiring oxygen. Chest X-ray indicated unilateral infiltrate, laboratory studies were significant for leukocytosis (WBC 35.5 thous/mm3), anemia (Hgb 4.7 g/dL), HgBS 78.6%, and SARS-CoV-2 PCR positive. She was diagnosed with acute chest syndrome with admission to the hospital floor. Day 2, she had a decrease in HgBS 25.8% after simple transfusion with improving symptoms. Day 4, she developed worsening acute hypoxic respiratory failure with bilateral lung infiltrates requiring noninvasive ventilation, and transfer to the pediatric intensive care unit (PICU). The diagnosis of MIS-C was made secondary to significantly elevated acute phase reactants (CRP 4.552 mg/dL, Ferritin 3155 ng/mL, D-Dimer 3452 ng/mL, BNP 153 pg/mL), and echocardiogram showing an ectatic right coronary artery. Treatment was initiated with remdesivir, dexamethasone, enoxaparin, intravenous immunoglobulin, convalescent plasma, and aspirin. There was significant clinical and laboratory improvement with transfer out of the PICU on day 6 and discharge home on day 8. Clinic followup two weeks later demonstrated resolution of coronary artery dilation and normalization of acute-phase reactants (CRP <0.1 mg/dL, Ferritin 1301 ng/mL, D-Dimer 201 ng/mL). RESULT(S): In patients with predisposed hypercoagulable and pro-inflammatory states, it is difficult to ascertain whether the elevation in acute phase reactants is a chronic or an acute on chronic process. The use of multiple consulting services and of ancillary studies such as echocardiogram helped clarify the diagnosis of MIS-C. With this disease still evolving, our case illustrates the complexity of MIS-C diagnosis in SCD and the potential importance of early and aggressive treatment.",2021,/,Critical Care Medicine,49,1 SUPPL 1,86,,http://dx.doi.org/10.1097/01.ccm.0000726692.24514.09,634767010,#102104,Seamon 2021,,,0,0.731181401
"Changes in Alcohol Consumption during the COVID-19 Pandemic-Small Change in Total Consumption, but Increase in Proportion of Heavy Drinkers.","Rossow, Ingeborg; Bye, Elin K; Moan, Inger Synnove; Kilian, Carolin; Bramness, Jorgen G","Little is known about possible changes in alcohol consumption distribution during the COVID-19 pandemic. We estimated how individual changes in alcohol consumption during the pandemic translated into changes in: (i) mean consumption; (ii) dispersion of consumption distribution; and (iii) prevalence of heavy drinkers. We employed data from two independent web-surveys of Norwegian adults collected between April and July 2020 and limited to those reporting past year alcohol consumption (N1 = 15,267, N2 = 1195). Self-reports of changes in drinking behavior were quantified, assuming change being relative to baseline consumption level. During the pandemic, we found a small increase (Survey 1) or no change (Survey 2) in estimated mean alcohol consumption (which parallels to total consumption). However, in both surveys, the dispersion of the distribution increased significantly (p < 0.001). For most respondents, an average modest decline in consumption was found. However, the small fraction with the highest baseline consumption increased their consumption substantially, and in effect, the proportion of heavy drinkers increased markedly (p < 0.001). In conclusion, quantifications of reported changes in alcohol consumption during the pandemic suggest that the upper 5 to 10% of the drinkers increased their consumption and hence the prevalence of heavy drinkers increased, despite little or no change in total alcohol consumption.",2021,/,International journal of environmental research and public health,18,8,,,https://dx.doi.org/10.3390/ijerph18084231,33923567,#103761,Rossow 2021,,,0,0.639741936
COVID 19 infection in a Massachusetts Community Hospital,"Davaro, Raul; Rapose, Alwyn ","Background: The ongoing pandemic of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections has led to 105690 cases and 7647 deaths in Massachusetts as of June 16. Method(s): The study was conducted at Saint Vincent Hospital, an academic health medical center in Worcester, Massachusetts. The institutional review board approved this case series as minimal-risk research using data collected for routine clinical practice and waived the requirement for informed consent. All consecutive patients who were sufficiently medically ill to require hospital admission with confirmed severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection by positive result on polymerase chain reaction testing of a nasopharyngeal sample were included. Result(s): A total of 109 consecutive patients with COVID 19 were admitted between March 15 and May 31. Sixty one percent were men, the mean age of the cohort was 67. Forty one patients (37%) were transferred from nursing homes. Twenty seven patients died (24%) and the majority of the dead patients were men (62%). Fifty one patients (46%) required admission to the medical intensive care unit and 34 necessitated mechanical ventilation, twenty two patients on mechanical ventilation died (63%). The most common co-morbidities were essential hypertension (65%), obesity (60%), diabetes (33%), chronic kidney disease (22%), morbid obesity (11%), congestive heart failure (16%) and COPD (14%). Five patients required hemodialysis. Fifty five patients received hydroxychloroquine, 24 received tocilizumab, 20 received convalescent plasma and 16 received remdesivir. COVID 19 appeared in China in late 2019 and was declared a pandemic by the World Health Organization on March 11, 2020. Our study showed a high mortality in patients requiring mechanical ventilation (43%) as opposed to those who did not (5.7%). Hypertension, diabetes and obesity were highly prevalent in this aging population. Our cohort was too small to explore the impact of treatment with remdesivir, tocilizumab or convalescent plasma. Conclusion(s): In this cohort obesity, diabetes and essential hypertension are risk factors associated with high mortality. Patients admitted to the intensive care unit who need mechanical ventilation have a mortality approaching 50 %.",2020,/,Open Forum Infectious Diseases,7,SUPPL 1,S257,,http://dx.doi.org/10.1093/ofid/ofaa417.570,634732661,#99424,Davaro 2020,,,0,0.385566467
Use of Electrocardiographic Screening to Clear Athletes for Return to Sports Following COVID-19 Infection,"Erickson, Jacob L.; Gende, Alecia; McEleney, Mark; Wencl, Corey M.; Castaneda, Marisa; Gran, Lindsay; Jagim, Andrew R.; Poterucha, Joseph T.; Fischer, Karen M.; Luedke, Joel; Collum, Jill ","Objective: To quantify the occurrence rate of abnormal electrocardiographic (ECG) findings and symptoms following coronavirus disease 2019 (COVID-19) infection. Patients and Methods: In this retrospective analysis, we studied adult patients (>18 years old) who were participating in collegiate athletics and previously tested positive for COVID-19 between August 1, 2020, and December 30, 2020. The athletes underwent general examinations and ECG screening prior to being medically cleared for a return to sports following their COVID-19 diagnosis. Predetermined predictors were grouped into categorical variables including (1) sex, (2) symptom severity, and (3) body mass index (normal vs overweight [>=24 kg/m2]). These variables were used to examine differences of abnormal rates that occurred between different predictor categories. Result(s): Of the 170 athletes screened, 6 (3.5%) presented with abnormal ECG findings and were referred to cardiologists. We found no evidence that sex, symptom severity, and body mass index category were associated with a higher rate of abnormal ECG findings (all P>.05). Greater severity of COVID-19 symptoms was associated with a higher percentage of ST depression, T-wave inversion, ST-T changes, and the presence of fragmented QRS complex. Loss of smell, loss of taste, headache, and fatigue were the most prevalent symptoms, with 38.8% (66), 36.5% (62), 32.9% (56), and 25.3% (43), respectively, of the 170 athletes reporting each symptom. Conclusion(s): Preliminary findings indicate a low risk of myocardial injury secondary to COVID-19 infection, with less than 4% of the 170 patients in our study presenting with abnormal ECG findings and a total of 16 patients (9.4%) requiring referral to a cardiologist. Although viral myocarditis was not detected in any athlete referred for cardiological assessment, 2 patients experienced effusive viral pericarditis.Copyright Â© 2021 Elsevier Inc.",2021,/,"Mayo Clinic Proceedings: Innovations, Quality and Outcomes",,"(Erickson, Gende, McEleney, Wencl, Castaneda, Gran, Jagim) Sports Medicine, Mayo Clinic Health System, La Crosse, WI, United States(Poterucha) Division of Critical Care Medicine, Department of Medicine, Mayo Clinic Health System, La Crosse, WI, United Sta",,,http://dx.doi.org/10.1016/j.mayocpiqo.2021.01.007,2011652687,#99200,Erickson 2021,,,0,0.266511077
